title,link
Crime Pays but Botany Doesn't,https://www.crimepaysbutbotanydoesnt.com/reading-list
Discovery Loop,https://www.discoveryloop.com/
"Changes at Google DeepMind: Demis Hassabis from CEO to Chair, Jeff Dean departs",https://blog.google/company-news/inside-google/message-ceo/next-chapter-ai-momentum/
Nashville uses eminent domain to block data center near zoo,https://www.costar.com/article/970809918/nashville-council-approves-eminent-domain-action-to-halt-data-center-project
Zed DeltaDB,https://zed.dev/deltadb
Branchless Rust: Making a Filter 4x Faster by Removing an If,https://www.greyblake.com/blog/branchless-rust/
The title cards in Blade Runner are amazing,https://randsinrepose.com/archives/blade-runner-title-cards/
Muse Code and Muse Spark 1.2,https://research.meta.ai/blog/introducing-muse-code-and-muse-spark-1-2
Beating GPT-5.6 Sol on retrieval with 100x cheaper open models,https://neon.com/blog/how-castform-neon-beats-frontier-models-on-price-and-efficiency
Quantego: A Family of Lego Models of IBM Quantum Computers,https://quantego.org/
Prime Agent: A self-improving RLM agent,https://www.primeintellect.ai/blog/prime-agent
"Born Against, or why hobby programming communities are against LLM usage",https://blog.fogus.me/llm/born-against.html
"Cloudflare OS: an open platform for agents, apps, and work",https://blog.cloudflare.com/cloudflare-os/
Decimen Optical Transfer: fountain-coded QR file transfer,https://github.com/bashalarmistalt/decimen-optical-transfer
Launch HN: HyperProbe (YC S26) – Agents that do read-only debugging in prod,https://www.hyperprobe.co
"Atlassian Rovo Exfiltrates Data, Bypassing Controls",https://www.promptarmor.com/resources/atlassian-rovo-exfiltrates-data
"Celld: Self-hosted, distributed Durable Objects",https://github.com/denoland/celld
GNU Hurd News 2026-Q2,https://www.gnu.org/software/hurd/news/2026-q2.html
NVIDIA’s Vera Whitepaper Has a Thread Loose,https://chipsandcheese.com/p/nvidias-vera-whitepaper-has-a-thread
"Show HN: Wallfacer – A terminal session manager for Claude Code, and more",https://github.com/pradipta/wallfacer
I'm switching my phone from Android to Linux,https://runarcn.no/android-to-linux/
I'll be stepping back from leading product for X,https://twitter.com/nikitabier/status/2085105586966827343/
Ryg_rans Is Not a Library,https://fgiesen.wordpress.com/2026/08/03/ryg_rans-is-not-a-library/
Position: LLMs Can't Jump,https://openreview.net/challenge?redirect=%2Fforum%3Fid%3DklU4737opt
Sycophantic AI Decreases Prosocial Intentions and Promotes Dependence (2025),https://arxiv.org/abs/2510.01395
"Exact, parallel 2D Delaunay triangulation for int32 coordinates",https://github.com/morishuz/delaunay32
Discovery of a multicomponent alloy forged by the Hiroshima atomic blast,https://www.science.org/doi/10.1126/sciadv.aeg8299
Goodhart's Law Comes for Every Benchmark You Trust,https://cacm.acm.org/blogcacm/goodharts-law-comes-for-every-benchmark-you-trust/
Virginia Orders Data Centers to Pay for Dedicated New Electric Infrastructure,https://www.realtor.com/news/real-estate-news/virginia-data-center-electric-infrastructure-spanberger/
The Entropy of a Markov Chain,https://chillphysicsenjoyer.substack.com/p/the-entropy-of-a-markov-chain
